SKU #,Picture,Description,Price,Materials,Title of Piece,Length/Weight
SW-1,SW1,"A necklace of ninety-two lapis lazuli beads, seventeen of which are double drilled. There are fifteen double drilled pendant beads of elongated form at the enter of the necklace.  These bulge at the center and taper to points at the bottom.  They graduate in size from the middle to the back on either side.  The center bead is 3 cm in height,  8 cm in width, and 1.05 cm in thickness at the center. The drill holes are 8.5 mm apart and have diameters of 2 mm.  The smallest is 1.65 cm in height, 5.3 mm in width and 6.5 mm in thickness.  There are very faint remnants of the horizontal grooves that are typical at the top and bottom ends of these pendant beads; they have been mostly worn off through use. They are strung on a double strand of barrel beads.  The barrel beads are 1.1 cm -1.3 cm in length, 5 mm in width with drill holes 2mm in diameter. They graduate slightly to lengths of 6 mm, and widths of 4 mm.   There is a pair of rectangular double drilled pieces that are used as spacers for the two strands on either side of the necklace.  They are 2 cm wide and 1.5 cm in length with a thickness of 8 mm.  The diameters of the drill holes are 2.5 mm. One piece has diagonal grooves on one side extending towards the center from each corner.  The other is not grooved.
        There have been a number of suggestions as to what these forms represent.  We favor the idea that these are representations of silk worms. There are jade versions of larval forms found in tombs in China from the Warring States Period. We think that these may be the prototypes for these lapis lazuli beads.  The time period is about the same – roughly 500 B.C. to 500 A.D. These beads come from the Swat Valley in what is now northern Pakistan.","$1,000.00","Lapis Lazuli, Silver",,"The necklace is 18 inches (45.6 cm) in length.
The necklace weighs 59 gm. "
M-18,M18,"A necklace of thirty-three diamond shaped double-drilled lapis lazuli beads each of which is separated by two groups of four small carnelian beads with a lapis lazuli bead in the center.  The diamond shaped lapis beads graduate slightly in size towards the back of the necklace.   The middle bead is also notched at the center. It is 1.35 cm in height, 7 mm wide and 3.5 mm in thickness.  The drill hole diameter is 1.5 mm.  The diamond shaped bead to the right is 1.5 cm in height, 8 mm in width, and 3.4 mm in thickness.  The smallest is 7 mm in height, 5 mm in width, and 3 mm in thickness.  The disc beads are 3 mm in height and 2 mm in length.  The round lapis beads used in the bottom row are 3.4 mm – 3.0 mm in diameter. 
     The use of slightly larger lapis lazuli beads in the center of the five bead groups in the bottom row causes the necklace to curve allowing the necklace to function as a curved strap.  We have utilized this to make a choker length necklace.  Although the diamond shaped double drilled beads could be strung in any number of ways in designing a necklace, it is very tempting to think that this is the intended use for this type of bead.  The success of a design such as this depends very much on precise spacing of the elements.  Slight irregularities in the sizes of the diamond shaped beads complicate the problem as does lack of uniformity in the spacing between the two holes.  These challenges can only be overcome by trial and error.  

There are 272 small carnelian disc beads, 70 small lapis lazuli beads and 33 diamond shaped lapis lazuli double drilled beads. The beading tips and hook and eye clasp are 20k gold.","$2,450.00","Lapis Lazuli, 20k gold",,"The necklace is 16 inches (40.06 cm) in length.
The necklace weighs 20 gm. "
,,,,,,
M-20,M20,"A necklace of thirty-four carnelian and eighteen lapis lazuli beads.  Fifteen of the carnelian beads are long tapered cylinder beads and twelve are shorter bi-conical beads, seven of which have a distinct line around the circumference in the middle where  the two planes intersect, the remaining six are of a more rounded form. The center bead is 3.23 cm in length, 1.33 cm in thickness at the center and 6.8 mm wide at the ends. The drill hole diameter is 1.5 mm. There is some evidence of regrinding in an attempt to polish out three slight chips in the surface, but apparently the attempt was abandoned leaving very slight facets over these chips.  The bead is handsomely banded with layers of both clear and white quartz. The next white and orange bead back on the left side of the photograph is 2.05 cm in length, 9.3 mm thick at the center and 5.9 mm wide at the ends. The hole diameter is 1.5 mm.  The next tapered cylinder bead to the back is a mixture of lighter and darker orange and is 1.79 cm in length, 8.5 mm at the center and 5.2 mm at the ends. The hole diameter is 1.8 mm.  The next white and orange tapered cylinder bead to the back (left side of the photograph) is 2.05 cm in length, 9 mm wide at the widest point in the center, and 4.8 mm wide at the ends.  The drill hole diameter is 1.2mm.  This bead has also been reground on opposing sides to remove chipped out areas making it about 1.6 mm narrower.  The next long tapered carnelian bead is a mixture of lighter and darker orange and is 1.72 cm in length, 8 mm wide at the center and 4 mm thick at the ends. The drill hole diameter is 1.4 mm.  The next white and orange bead back is 1.72 cm in length, 8 mm wide at the center and 5.5 mm wide at the ends. The drill hole diameter is 2.5 mm.  The less tapered ends and the wide drill hole indicate that this bead is considerably older than the previous beads listed, probably around four thousand years old. The previous beads are from around two thousand years ago.  The whitened bead at the back is also a four thousand year old bead with the large hole and distinct line at the circumference. It is 1.4 cm in length, 6.2 mm at the circumference and 4.2 mm wide at the ends.  The drill hole diameter is 2.4 mm.  The bead has been whitened by burial in alkaline soil. It has the distinct profile of a bead from the Indus civilization.   
    We will now list the beads going from back to front, on the right side of the photograph: The bead pictured above is also an Indus agate bead that has been whitened by burial in alkaline soil. It is 1.8 cmin length, 6 mm at the widest point in the center, and 4.5 mm wide at the ends.  The diameter of the drill hole is 3 mm.  In the center of the next group of three carnelian beads to the front is a rounded barrel bead with tapered ends 1.25 cm in length.  It is 7.6 mm at the widest point and 4 mm wide at the ends. The drill hole diameter is 1.5 mm.  There is some chipping at one end and in the body of the bead. The next white bead forward is very similar to the other orange and white striped beads previously described, except it has been whitened by burial in alkaline soil resulting in the white being  opaque instead if semi translucent. It is 1.9 cm in length, 8.9 mm at the center and 5.8 mm at the ends. The hole diameter is 1.2 mm.  The longer carnelian bead in the next group of three beads forward is 2.03 cm in length, 8 mm wide at the center and 4 mm wide at the ends.  The drill hole diameter is 2 mm. The next carnelian bead forward is a dark orange with translucent white banding. It is 2.3 c m in length, 8.5 mm wide at the center and 5 mm wide at the ends.  The drill hole diameter is 1.5 mm.  The longer carnelian bead in the next group of three forward is 1.8 cm in length, 8.5 mm at the center and 5 mm at the ends. The drill hole diameter is 2 mm. The last white and pale orange striped bead, to the right of the center bead in the photograph is 2.05 cm in length, 9.5mm at the center and 5 mm at the ends. The drill hgole diameter is 2mm.  The carnelian bi-cone beads range in size: the largest is 1.22cm in length, 1 cm at the center and 6 mm at the ends, with the drill hole diameter at 2.5 mm.  The smallest  is 9 mm in length, 8.2 mm at the center and 5.2 mm at the ends.  The drill hole diameter is 2.5 mm.  There are a number of smaller tapered barrel beds of squat proportion and less distinct form that are used as spacers in the groups of three carnelians towards the back of the necklace.  The principle beads with banding are faced with lapis lazuli beads. The largest is 5.5 mm in length and 9 mm in circumference. The smallest are 4 mm in length and 8 mm wide.  These are short cylinder forms with rounded edges.  There are pairs of lapis disc beads 4 mm by 2mm that face the Indus beads at the back. There is a garnet bead at the very back of the necklace ( third from left in the above photograph) 6mm in size.  The hand made clasp and beading tips are sterling silver.","$1,275.00","Lapis Lazuli, Carnelian, Garnet, Silver",,"The necklace is 22 5\8 inches (57.6 cm) in length. 
The necklace weighs 57.3 gm."
SW-13a,SW13a,"A necklace of twenty-five double drilled lapis lazuli beads strung on a double strand of one hundred thirty-two cylindrical carnelian beads with clear and white quartz banding. The sixty-six beads in the top strand are slightly smaller than the sixty-six in the bottom strand which gives the curve to the strand that allows it to fit properly on the wearer's body. The carnelian cylinder beads range in size:  The largest is 6 mm in length and 4.2 mm wide. The smallest is 4.5 mm in length and 2.3 mm wide.  The diameters of the drill holes are 2 mm to 1.2 mm. The lapis pieces graduate in size towards the back of the necklace. The center bead is 3.2 cm in height.  It is 6 mm wide at the center and 8.8 mm thick at the thickest point just above the center.  The smallest is 1.45 cm in height and 5.3 mm wide.  It is 6 mm thick at the center. The diameters of the drill holes are 2 mm.  There are variations in the forms but all follow the same basic schema: An elongated form is drilled through the side at the middle or just above the middle.  A second hole is drilled through the side near the top.  The bottom half tapers to a narrower point than the top half. The form is flat on the back and bulges outward at the middle.  A series of grooves is cut across the form at the top end and the bottom end. These can be as few as two grooves across the top and three across the bottom to five across the top and seven across the bottom. The idea seems to be to fill the space rather than to have a specific number of grooves. Some of the pieces lack the groves entirely, or have faint traces, probably due to wear. 
       There have been a number of suggestions as to what these forms represent.  We favor the idea that these are representations of silk worms. There are jade versions of larval forms found in tombs in China from the Warring States Period and Western Zhou. We think that these may be the prototypes for these lapis lazuli beads.  The time period is about the same – roughly 500 B.C. to 500 A.D. These beads come from the Swat Valley in what is now northern Pakistan, between the Indus River and the Karakoram Mountain range to the north. The clasp and beading tips are sterling silver.","$2,225.00","Lapis Lazuli, Carnelian, Quartz, Silver",,The necklace is 19 ¼ inches (48.8 cm) in length. The necklace weighs 57.2 gm.
SW-2,SW2,"A necklace of nine agate beads, one of which is a tear-dropped shape pendant, spaced by groups of lapis lazuli and carnelian beads.  There are fourteen lapis lazuli beads and twenty-two carnelian beads.  The pendant bead is 2.7 cm in height and 8.8 mm in thickness (from side to side),  tapering to 6 mm wide at the perforation.  The drill hole diameter is 2 mm.  The front to back thickness at the widest point is 1.12 cm. The pendant is 5 mm in diameter at the very top. The carnelian beads vary in shape- some are barrel shaped, some are bi-cones, and some are slightly flattened spheres.  The pair of bi-cones at either side of the center pendant bead are  1.3 cm in length, 8.5 mm in width at the center and 5 mm wide at the ends with a hole diameter of 3 mm. The lapis beads are rough rectangular solids except for four flattened “wing” beads, so called because they are much wider than they are long and are tapered from the center to the edges. The pair towards the center of the necklace are 8.5 mm in length, 1.55 cm in width and 4.5 mm in thickness at the center, tapering to a rounded edge of about 3 mm. The drill hole diameters are 2 mm.
    These beads come from the Swat Valley in what is now northern Pakistan, between the Indus River and the Karakoram Mountain range to the north. The beading tips and hook and eye clasp are fine silver.","$1,500.00","Lapis Lazuli, Carnelian, Agate, Silver",," The necklace is 20 inches (50.3 cm) in length.                                                                                                                                                         
 The necklace weighs 55.2 gm."
SW-3,SW3,"A necklace of seventeen carnelian beads alternating with sixteen lapis lazuli beads. The carnelians are all barrel shaped of various proportions except for two round beads at the very back of the necklace.  The large center bead is 3.5 cm in length, 4.8 mm in width and 8.5 mm in width at the ends. The hole diameter is 2.3 mm.  There are four circular “eye” spots in the bead, one of which is a very light blue color.  There are a pair of carnelian beads 1.8 cm in length and 1 cm in width at the center. The remaining beads graduate downward in size towards the back of the necklace. The lapis lazuli beads are of various shapes: a pair of notched triangular beads that frame the center carnelian bead, elongated cornerless cuboid beads, long barre shaped beads, beads with flat backs and a domed front (like a turtle shell), and a tabular bead with tapered edges. Some of the lapis beads have very old looking granular surfaces; the iron pyrite inclusions in these have been exposed and glitter as they reflect the light. These beads come from the Swat Valley in what is now northern Pakistan, between the Indus River and the Karakoram Mountain range to the north and Kashmir to the west.",$500.00,"Lapis Lazuli, Carnelian, Silver",,The necklace is 20 1/8 inches (51.2 cm) in length. The necklace weighs 49.4 gm.
SW-4,SW4,"A necklace of seventy-nine lapis lazuli beads, of round shape, with a center pendant bead with peg like shape that tapers slightly towards the top.  The lapis lazuli beads are very blue to dark blue in color. The pendant bead is 2.05 cm in height, 7.8 mm wide at the base and 5 mm wide at the top end.  The drill hole diameter is 2 mm. The round largest bead at the center is 8 mm in length and 9.5 mm in width. The beads graduate in size towards the back with the smallest bead being 4 mm in length and 5 mm in width. The drill hole diameters are 2 mm. These beads come from the Swat Valley in what is now northern Pakistan, between the Indus River and the Karakoram Mountain range to the north. The beading tips and hook and eye clasp are fine silver.",$500.00,"Lapis Lazuli, Silver",,"The necklace is 20 ½ inches (52.2 cm) in length.
The necklace weighs 48.3 gm."
,,,,,,
SW-6,SW6," A necklace of one hundred seven-nine lapis lazuli beads, of round shape, with a center pendant bead with peg like shape that tapers slightly towards the top. The pendant bead is 1.3 cm cm in height, 6.9 mm wide at the base and 5 mm wide at the top end.  The drill hole diameter is 2 mm. The round largest bead at the center is 4.5 mm in length and 5.5 mm in width. The beads graduate in size towards the back with the smallest bead being 4 mm in length and 4.2 mm in width. The drill hole diameters are 2 mm. These beads come from the Swat Valley in what is now northern Pakistan, between the Indus River and the Karakoram Mountain range to the north. The beading tips and hook and eye clasp are fine silver. ",$400.00,"Lapis Lazuli, Silver",,"The necklace is 19 3/8 inches (49.3 cm) in length.
The necklace weighs 20 gm."
